ISO,UBID,pop
bra,355030830000335,52
bra,110146805000002,506
lao,1609_9874,632
lao,1608_9794,867
lao,1606_9166,672
lao,1608_9809,350
lao,1609_9873,1158
lao,1610_9951,595
lao,1609_9862,257
lao,0501_1772,392
lao,1607_9525,493
lao,1609_9871,634
lao,1608_9837,408
lao,1610_9959,264
lao,1610_9962,489
nzl,076_617501_0147209,3
nzl,076_617903_0340602,34
nzl,076_617901_0358434,95
nzl,076_617702_0634371,3
nzl,011_619301_1048500,3
nzl,023_536822_1205602,58
nzl,044_622201_2072708,28
nzl,053_580445_2282502,6
nzl,053_580445_2284700,3
nzl,051_623803_2349910,3
nzl,051_581835_2350602,3
nzl,073_626100_3176100,6
nzl,071_625800_2909105,3
nzl,046_622102_1981203,41
nzl,047_573102_2137323,37
nzl,053_580445_2279801,6
nzl,053_580445_2279903,9
nzl,055_624100_2394501,3
nzl,064_625300_2804001,3
nzl,999_621402_1587913,5
nzl,053_580445_2283000,13
nzl,076_617703_0634343,15
nzl,002_615101_0081801,25
nzl,076_617901_0358415,3
nzl,076_616002_0440200,3
nzl,023_536508_1180501,3
nzl,076_520803_0516008,3
nzl,076_617604_0608353,12
nzl,011_619301_1048304,3
nzl,023_536822_1188807,15
nzl,999_620901_1427901,5
nzl,001_614700_0020500,19
nzl,002_615102_0081700,6
nzl,001_501613_0044402,9
nzl,001_614800_0058901,6
nzl,076_505911_0175104,31
nzl,076_617901_0358442,12
nzl,076_617901_0334500,9
nzl,076_617901_0340611,55
nzl,076_617903_0438219,9
nzl,076_522605_0634304,6
nzl,076_520803_0516003,3
nzl,076_520803_0516009,12
nzl,076_617604_0608354,3
nzl,076_617501_0634379,3
nzl,011_619301_1046302,6
nzl,053_580445_2285302,3
nzl,022_536613_1180901,3
nzl,047_576904_2137108,22
nzl,053_580445_2280402,3
nzl,051_623900_2349903,12
nzl,060_625102_2712200,3
nzl,999_625103_2712415,22
nzl,999_625902_2909106,11
nzl,071_625800_2909115,3
nzl,076_520803_0516002,6
usa_az,840040190040322018,2
usa_fl,840120690313102000,1
usa_il,840170318391001003,2
usa_il,840170318391001000,1
usa_mi,840260873340001020,2
usa_ny,840360450601002100,4
usa_wv,840540190211001081,3
