ISO,UBID,context
bra,290070215000010,118
bra,421790705000019,118
bra,350700105000114,116
bra,140017505000032,118
bra,110009810000005,118
bra,510630705000017,118
bra,430590005000015,118
bra,354990405000845,118
bra,352330505000036,118
bra,352330505000033,116
bra,352330505000030,118
bra,150619515000006,116
bra,150619515000007,116
bra,350700105000118,118
bra,411090405000014,118
bra,330187605060076,118
bra,352440205000334,118
bra,350440405000025,116
bra,355030871000114,116
bra,500660605040015,118
bra,410940105000020,118
bra,110034605000018,118
bra,290250010000018,118
bra,290250010000014,118
bra,353200905000013,118
bra,292740805180177,118
bra,411820405000146,116
bra,432070105000023,118
bra,355030830000476,116
bra,355030861000083,118
bra,354240405000022,118
bra,320060705000082,118
bra,110005605000026,118
bra,315140405000060,118
bra,231375705000011,118
bra,251080805000077,118
bra,315460610000220,118
bra,330460715000003,116
bra,352590405000517,116
bra,130030005000019,118
bra,293245705000017,118
bra,293020410000005,118
bra,354390705000045,118
bra,291072705000141,116
bra,291072705000140,116
bra,291072705000143,116
bra,432220205000015,118
bra,130410405000037,118
bra,292080910000012,118
bra,240810205080087,118
bra,240810205080084,118
bra,431900005000054,116
bra,411950905000111,118
bra,411950905000113,118
bra,411950905000112,118
bra,411950905000115,118
bra,411950905000114,118
bra,351500405000344,118
bra,355240305000088,118
bra,410750405000018,118
bra,330240305050020,118
bra,354340205000513,118
bra,354340205000512,118
bra,330500007000019,118
bra,310530105000014,118
bra,310530105000010,118
bra,110012205000119,118
bra,230730410000001,118
bra,230730410000005,118
bra,140010005000271,118
bra,350240805000011,118
bra,355030865000073,118
bra,310670505080039,118
bra,313310505000030,118
bra,350870210000005,118
bra,330455705230279,118
bra,355470605000010,118
bra,432183205000004,118
bra,354340210000022,118
bra,220770205000117,118
bra,431820045000007,118
bra,320130810000129,118
bra,411990505000323,116
bra,130230605000046,118
bra,293330707000005,118
bra,290650110000003,116
bra,221110005000044,118
bra,240010905000022,118
bra,280450805000011,118
bra,352180405000045,118
bra,411850105000079,118
bra,312770105000217,118
bra,314810305000031,118
bra,355170205000164,118
bra,150060207000032,118
bra,150060207000030,118
bra,320150605000151,118
bra,310070805000010,118
bra,310070805000011,118
bra,355170205000168,118
bra,421640405000005,118
bra,352190305000018,116
bra,421625505000021,118
bra,520140510000213,118
bra,130090405000030,118
bra,431245005000011,118
bra,313460805000032,118
bra,313460805000033,116
bra,313460805000031,118
bra,351640805000139,116
bra,351640805000138,118
bra,350550005000044,118
bra,350840520000035,118
bra,314810305000132,118
bra,314810305000134,116
bra,353340305000077,118
bra,330010010000021,118
bra,330030805000178,118
bra,352690205000346,118
bra,290485205000021,118
bra,290485205000023,118
bra,353870905000538,116
bra,412640510000003,118
bra,352310705000375,118
bra,355030855000294,118
bra,352310705000373,118
bra,354670205000014,118
bra,431406805000002,118
bra,510385805000020,118
bra,354010105000005,118
bra,353650505000083,118
bra,355030865000094,118
bra,354630605000048,118
bra,431515607000002,118
bra,430360805000012,118
bra,430280815000001,116
bra,311783605000005,118
bra,311783605000006,116
bra,211130005000322,118
bra,431850705020004,118
bra,314970505000018,118
bra,500348805000021,118
bra,310620060640212,118
bra,150745805000034,118
bra,270140705000038,118
bra,317170905000022,118
bra,350990810000006,118
bra,130260305110003,118
bra,355030880000144,116
bra,310670505070050,118
bra,231310405000023,118
bra,220800705000077,118
bra,130260305130090,116
bra,420850005000069,118
bra,420850005000065,118
bra,420850005000060,118
bra,530010805100328,118
bra,431535420000005,118
bra,210850405000026,118
bra,431440705160086,118
bra,431090005000018,118
bra,292860405000081,118
bra,221100105090082,118
bra,210190505000032,118
bra,420460815000063,118
bra,351770305000030,118
