oldname,newname
gpw_v4_e_atotpopbt_2010_cntm_1_deg,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_cntm_1_deg
gpw_v4_e_atotpopbt_2010_cntm_15_min,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_cntm_15_min
gpw_v4_e_atotpopbt_2010_cntm_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_cntm_2pt5_min
gpw_v4_e_atotpopbt_2010_cntm_30_min,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_cntm_30_min
gpw_v4_e_atotpopbt_2010_cntm_30_sec_1,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_cntm_30_sec_1
gpw_v4_e_atotpopbt_2010_cntm_30_sec_2,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_cntm_30_sec_2
gpw_v4_e_atotpopbt_2010_cntm_30_sec_3,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_cntm_30_sec_3
gpw_v4_e_atotpopbt_2010_cntm_30_sec_4,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_cntm_30_sec_4
gpw_v4_e_atotpopbt_2010_cntm_30_sec_5,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_cntm_30_sec_5
gpw_v4_e_atotpopbt_2010_cntm_30_sec_6,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_cntm_30_sec_6
gpw_v4_e_atotpopbt_2010_cntm_30_sec_7,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_cntm_30_sec_7
gpw_v4_e_atotpopbt_2010_cntm_30_sec_8,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_cntm_30_sec_8
gpw_v4_e_atotpopbt_2010_dens_1_deg,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_dens_1_deg
gpw_v4_e_atotpopbt_2010_dens_15_min,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_dens_15_min
gpw_v4_e_atotpopbt_2010_dens_2pt5_min,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_dens_2pt5_min
gpw_v4_e_atotpopbt_2010_dens_30_min,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_dens_30_min
gpw_v4_e_atotpopbt_2010_dens_30_sec_1,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_dens_30_sec_1
gpw_v4_e_atotpopbt_2010_dens_30_sec_2,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_dens_30_sec_2
gpw_v4_e_atotpopbt_2010_dens_30_sec_3,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_dens_30_sec_3
gpw_v4_e_atotpopbt_2010_dens_30_sec_4,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_dens_30_sec_4
gpw_v4_e_atotpopbt_2010_dens_30_sec_5,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_dens_30_sec_5
gpw_v4_e_atotpopbt_2010_dens_30_sec_6,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_dens_30_sec_6
gpw_v4_e_atotpopbt_2010_dens_30_sec_7,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_dens_30_sec_7
gpw_v4_e_atotpopbt_2010_dens_30_sec_8,gpw_v4_basic_demographic_characteristics_rev10_atotpopbt_2010_dens_30_sec_8
