GRIDCODE	ISOCODE	UNSDCODE	NAME0	CIESINCODE	DATATYPE	DATACODE	DATAYEAR	DATALEVEL	GRSTART	GREND	GRLEVEL	LASTCENSUS	MEANUNITKM
4	AFG	4	Afghanistan	4	Population estimate/projection	6	2011	2	1998	2011	1	1979	4507
8	ALB	8	Albania	8	Final census	1	2011	3	2001	2011	3	2011	116
12	DZA	12	Algeria	12	Final census	1	2008	2	1998	2008	2	2008	50885
16	ASM	16	American Samoa	16	Final census	1	2010	3	2000	2010	3	2010	8
20	ANR	20	Andorra	20	Population register	5	2010	1	2000	2010	1	2011	80
24	AGO	24	Angola	24	Preliminary/provisional census	4	2014	2	2006	2014	1	2014	17505
28	ATG	28	Antigua and Barbuda	28	Final census	1	2011	1	2001	2011	1	2011	82
31	AZE	31	Azerbaijan	31	Final census	1	2009	1	1999	2009	1	2009	1432
32	ARG	32	Argentina	32	Final census	1	2010	2	2001	2010	2	2010	14168
36	AUS	36	Australia	36	Final census	1	2011	5	2001	2011	4	2016	73231
40	AUT	40	Austria	40	Population register	5	2012	4	2001	2012	4	2011	74
44	BHS	44	Bahamas	44	Final census	1	2010	1	2000	2010	1	2010	2426
48	BHR	48	Bahrain	48	Final census	1	2010	1	2001	2010	1	2010	237
50	BGD	50	Bangladesh	50	Final census	1	2011	3	2001	2011	2	2011	390
51	ARM	51	Armenia	51	Final census	1	2011	3	2001	2011	2	2011	848
52	BRB	52	Barbados	52	Final census	1	2010	1	2000	2010	1	2010	43
56	BEL	56	Belgium	56	Population register	5	2014	4	2002	2014	4	2011	79
60	BMU	60	Bermuda	60	Final census	1	2010	1	2000	2010	1	2010	8
64	BTN	64	Bhutan	64	Final census	1	2005	2	2005	2010	1	2005	599
68	BOL	68	Bolivia (Plurinational State of)	68	Final census	1	2012	3	2001	2012	3	2012	16540
70	BIH	70	Bosnia and Herzegovina	70	Final census	1	2013	3	2003	2013	1	2013	564
72	BWA	72	Botswana	72	Final census	1	2011	2	2001	2011	2	2011	39354
76	BRA	76	Brazil	76	Final census	1	2010	5	2000	2010	2	2010	1887
84	BLZ	84	Belize	84	Final census	1	2010	1	2000	2010	1	2010	4184
90	SLB	90	Solomon Islands	90	Final census	1	2009	4	1999	2009	1	2009	91
92	VGB	92	British Virgin Islands	92	Final census	1	2010	1	1991	2001	1	2010	39
